"","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Continent"
"150","Ethiopia","140","+5","3","","75","62","","1","0.03","24,088","210","Africa"
"151","Brunei","138","","1","","130","7","2","315","2","14,476","33,090","Asia"
"152","Zambia","137","+13","3","","78","56","1","7","0.2","7,277","396","Africa"
"153","French Guiana","133","+5","1","","100","32","2","445","3","","","South America"
"154","Togo","126","+2","9","","74","43","","15","1","7,891","953","Africa"
"155","Cambodia","122","","","","120","2","1","7","","12,378","740","Asia"
"156","Chad","117","","10","","39","68","","7","0.6","","","Africa"
"157","Trinidad and Tobago","116","","8","","99","9","","83","6","2,012","1,438","North America"
"158","Eswatini","116","+4","1","","12","103","","100","0.9","714","615","Africa"
"159","Bermuda","115","","7","","54","54","4","1,847","112","3,270","52,507","North America"
"160","Haiti","100","+15","11","+3","10","79","","9","1.0","1,026","90","North America"
"161","Aruba","100","","2","","81","17","4","937","19","1,758","16,466","North America"
"162","Uganda","97","+8","","","55","42","","2","","41,478","907","Africa"
"163","Benin","96","+6","2","","50","44","","8","0.2","","","Africa"
"164","Monaco","95","","4","","78","13","1","2,421","102","","","Europe"
"165","Guyana","92","+10","9","","27","56","3","117","11","579","736","South America"
"166","CAR","85","+13","","","10","75","","18","","3,498","724","Africa"
"167","Bahamas","83","","11","","25","47","1","211","28","1,391","3,537","North America"
"168","Barbados","82","+1","7","","46","29","4","285","24","2,458","8,553","North America"
"169","Liechtenstein","82","","1","","55","26","","2,151","26","900","23,605","Europe"
"170","Mozambique","80","","","","19","61","","3","","2,466","79","Africa"
"171","Sint Maarten","76","","13","","44","19","7","1,773","303","329","7,673","North America"
"172","Cayman Islands","75","+1","1","","14","60","3","1,141","15","2,528","38,465","North America"
"173","Nepal","75","","","","16","59","","3","","63,102","2,166","Asia"
"174","Libya","63","","3","","23","37","","9","0.4","2,338","340","Africa"
"175","French Polynesia","58","","","","53","5","1","206","","2,665","9,487","Australia/Oceania"
"176","South Sudan","46","","","","","46","","4","","1,247","111","Africa"
"177","Macao","45","","","","39","6","1","69","","","","Asia"
"178","Syria","44","","3","","27","14","","3","0.2","","","Asia"
"179","Malawi","41","+2","3","","9","29","1","2","0.2","907","47","Africa"
"180","Mongolia","40","+1","","","12","28","","12","","8,250","2,517","Asia"
"181","Eritrea","39","","","","26","13","","11","","","","Africa"
"182","Saint Martin","38","","3","","29","6","1","983","78","","","North America"
"183","Angola","35","","2","","11","22","","1","0.06","3,000","91","Africa"
"184","Zimbabwe","34","","4","","5","25","","2","0.3","7,642","514","Africa"
"185","Antigua and Barbuda","25","","3","","15","7","1","255","31","151","1,542","North America"
"186","Timor-Leste","24","","","","20","4","","18","","664","504","Asia"
"187","Sao Tome and Principe","23","+7","3","+2","4","16","","105","14","175","799","Africa"
"188","Botswana","23","","1","","8","14","","10","0.4","8,636","3,672","Africa"
"189","Grenada","21","","","","13","8","4","187","","1,406","12,495","North America"
"190","Laos","19","","","","9","10","","3","","2,223","306","Asia"
"191","Belize","18","","2","","13","3","1","45","5","1,043","2,623","North America"
"192","Fiji","18","","","","14","4","","20","","1,007","1,123","Australia/Oceania"
"193","New Caledonia","18","","","","17","1","1","63","","4,947","17,328","Australia/Oceania"
"194","Saint Lucia","18","","","","15","3","","98","","446","2,429","North America"
"195","Gambia","17","","1","","9","7","","7","0.4","401","166","Africa"
"196","St. Vincent Grenadines","17","+1","","","9","8","","153","","137","1,235","North America"
"197","Curaçao","16","","1","","13","2","","98","6","351","2,139","North America"
"198","Dominica","16","","","","13","3","","222","","383","5,320","North America"
"199","Namibia","16","","","","8","8","","6","","1,122","442","Africa"
"200","Nicaragua","15","+1","5","+2","7","3","","2","0.8","","","North America"
"201","Burundi","15","","1","","7","7","","1","0.08","284","24","Africa"
"202","Saint Kitts and Nevis","15","","","","8","7","","282","","294","5,526","North America"
"203","Falkland Islands","13","","","","13","0","","3,736","","388","111,494","South America"
"204","Yemen","12","+2","2","","1","9","","0.4","0.07","120","4","Asia"
"205","Turks and Caicos","12","","1","","6","5","","310","26","107","2,764","North America"
"206","Montserrat","11","","1","","7","3","1","2,204","200","36","7,212","North America"
"207","Greenland","11","","","","11","0","","194","","1,294","22,794","North America"
"208","Vatican City","11","","","","2","9","","13,733","","","","Europe"
"209","Seychelles","11","","","","6","5","","112","","","","Africa"
"210","Suriname","10","","1","","9","0","","17","2","404","689","South America"
"211","MS Zaandam","9","","2","","","7","","","","","",""
